tweet_text;classes
A piscina para crianças imprópria para o banho.;ambiente
A pizza é maravilhosa, o lugar aconchegante, com um play para crianças brincarem.;ambiente
A primeira vez que minha filha teve contato com o rio foi no abaré, graças a um ambiente tranquilo, familiar e seguro, tivemos a melhor experiência do mundo.;ambiente
A unica coisa que não gostei é que o banheiro masculino fica no piso superior.;ambiente
A unidade do manauara shopping é excelente pois conta com espaço amplo, boa variedade no cardápio, cerveja artesanal maravilhosa e vários produtos importados e nacionais.;ambiente
A variedade de refeições é outro diferencial e o preço justo torná o ambiente perfeito para reunir-se com os amigos.;ambiente
Achei bem agradável, mas tem pouca variedade de comida e se você quer conversar e comer não é um bom lugar pois vai muita gente e como o lugar é fechado você ouve a voz de todo mundo.;ambiente
Achei o preço bom 27 reais buffet livre, a comida estava deliciosa e o ambiente é silencioso, como eu gosto.;ambiente
Achei uma boa opção, mas muito barulhento e não tem na cozinha a mesma qualidade que apresenta nos produtos da delicatessen.;ambiente
Achei, em tempos de pandemia, as mesas muito próximas e vim um garçom jovem que insistia em usar a máscara de forma incorreta deixando seu nariz para fora e respirando sobre o alimento e louças enquanto servia, mesmo por duas vezes, nós o solicitamos que usasse a máscara corretamente.;ambiente
Acho o local pequeno, precisei algumas vezes dividir a mesa mas pela comida vale a pena.;ambiente
Acomodações externas muito ruim, pessoas fumando em cima da gente, no mais ótimo localização.;ambiente
Aconchegante  ,agradável, de fácil acesso, amei estar lá.;ambiente
Adoramos o café, ambiente muito agradável e aconchegante.;ambiente
Adorei , atendimento excelente e os pratos uma delicia e uma paisagem espetacular !!!;ambiente
Adorei, atendimento excelente, comida boa, ambiente familiar, aconchegante.;ambiente
Adoro esse lugar, comida excelente,  atendimento de primeira qualidade,  lugar bonito e muito bem frequentado e o preço é ótimo.;ambiente
Adoro estou sempre lá,muito divertido musica boa,gente bonita,atendentes super simpaticos.;ambiente
Agradável local para relaxar, conversar e apreciar a natureza.;ambiente
Ainda que o ambiente tenha melhorado em muito 9o que rende pontos extras para a climatização), a qualidade na mesa decaiu, especialmente os acompanhamentos da carne de sol.;ambiente
além de ser um flutuante no meio do rio negro, você pode praticar SUP e ainda ver um belo por-do-sol!;ambiente
Além disso, o atendimento é muito bom e o ambiente super agradável!!!;ambiente
Além dos pratos bem servidos e saborosos, o atendimento é acolhedor, com  um espaço físico agradável e devidamente climatizado.;ambiente
Ambiente super agradável, atendimento simpático e simples, carnes de excelente paladar, custo benefício atrativos.;ambiente
Ambiente  agradabilíssimo e com música ao vivo final de semana.;ambiente
Ambiente  familiar pizza muito gostosa atendimento de excelência  estão de parabéns.;ambiente
Ambiente  muito aconchegante com ótima seleção musical.;ambiente
Ambiente acolhedor , comida regional manauara com toque de chef .;ambiente
Ambiente acolhedor e familiar, com o sabor e cheiro de Belém do Pará.;ambiente
Ambiente acolhedor, com iluminação no ponto certo.;ambiente
Ambiente aconchegante.;ambiente
Ambiente aconchegante agradável, boa comida e funcionários atenciosos.;ambiente
Ambiente aconchegante e agradável, ideal para pequenos grupos.;ambiente
Ambiente aconchegante e bem limpo, culinária muito boa.;ambiente
Ambiente aconchegante e bom atendimento.;ambiente
Ambiente aconchegante e familiar.;ambiente
Ambiente aconchegante, atendimento excelente,comida maravilhosa.;ambiente
ambiente aconchegante, comida da melhor qualidade, muito bom mesmo.;ambiente
Ambiente aconchegante, excelente atendimento e pratos deliciosos!;ambiente
Ambiente aconchegante, ótimo atendimento, cardápio variado e excelente qualidade.;ambiente
Ambiente aconchegante, preço justos, comida saborosa e ótimo atendimento (em especial ao garçom Robson).;ambiente
Ambiente aconchegante.;ambiente
Ambiente adequado.;ambiente
Ambiente agradabilíssimo, pratos bem apresentados e, principalmente, bem sevidos.;ambiente
Ambiente agradável.;ambiente
Ambiente agradável ,comida  muito boa, e atendimento ok. Pedi pra levar o q sobrou da minha pizza e tive q pagar a embalagem, mas ok.;ambiente
Ambiente agradável com a melhor carne de sol de Manaus.;ambiente
Ambiente agradável com ar refigerado( importantíssimo nesta cidade), decoração com motivos Amazônicos .;ambiente
Ambiente agradável com o melhor da culinária peruana e local.;ambiente
Ambiente agradável com opção de atendimento interno e externo.;ambiente
Ambiente agradável com ótimo atendimento e o cardápio de excelente qualidade.;ambiente
Ambiente agradavel e a localização e boa.;ambiente
Ambiente agradável e aconchegante, um excelente atendimento, ótimas opções de pratos, guarnições bem servidas, grande variedade de carnes e sobremesas deliciosas!;ambiente
Ambiente agradável e amplo com uma bela vista do rio negro.;ambiente
Ambiente agradável e atendimento cordial, ja os preços são muito caro.;ambiente
Ambiente agradável e atendimento muito bom.;ambiente
Ambiente agradável e atendimento nota dez!;ambiente
Ambiente agradável e bom atendimento, especialmente o rapaz Sauro.;ambiente
Ambiente agradavel e bom atendimento.;ambiente
Ambiente agradável e bom atendimento.;ambiente
Ambiente agradável e cardápio ótimo.;ambiente
Ambiente agradável e cardápio variado, embora, tenham sempre alguns itens indisponíveis.;ambiente
Ambiente agradável e cerveja barata.;ambiente
Ambiente agradável e com música boa.;ambiente
Ambiente agradável e com uma comida típica regional.;ambiente
Ambiente agradável e comida deliciosa, mas quanto ao espaço infantil, sugiro ter mais monitoras, principalmente em dias de mais movimento.;ambiente
Ambiente agradável e comida maravilhosa.;ambiente
Ambiente agradável e de fato tem uma variedade de sabores.;ambiente
Ambiente agradável e excelente atendimento!;ambiente
Ambiente agradável e muito confortável.;ambiente
Ambiente agradável e música boa!;ambiente
Ambiente agradável e ótimo atendimento.;ambiente
Ambiente agradável e pessoal atencioso.;ambiente
Ambiente agradável e som maravilhoso.;ambiente
Ambiente agradável e um amplo estacionamento.;ambiente
Ambiente agradavel em otima localizacao excelentes garcon,sem contar que voce nao espera quase nada pra saborear a deliciosa picanha suculenta.;ambiente
Ambiente agradável espetacular, excelente atendimento, comida maravilhosa, tradicional restaurante com comidas típicas.;ambiente
Ambiente agradável mas com muita gente fica apertado e bem barulhento.;ambiente
Ambiente agradável para almoços e comemorações, comida saborosa e atendimento excelente pelo garçom Izaquiel.;ambiente
Ambiente agradável para um café e um bom papo com os amigos!;ambiente
Ambiente agradável,  boa comida e preço justo para o que oferece.;ambiente
Ambiente agradável,  cardápio variado e excelentes profissionais de apoio.;ambiente
Ambiente agradável, açaí bem gostoso e achei o preço justo.;ambiente
Ambiente agradável, aconchegante, comida gostosa e atendimento excelente! ?;ambiente
Ambiente agradável, atendentes educados e simpáticos, ótimas opções de salda e preço acessível.;ambiente
Ambiente agradável, atendimento excelente e pratos sofisticados, vale cada centavo.;ambiente
Ambiente agradável, atendimento super rápido.;ambiente
Ambiente agradável, bem localizado, fácil acesso, comida muito boa, eu recomendo !;ambiente
Ambiente agradável, Boa musica e com cardápio para agradar qualquer paladar.;ambiente
Ambiente agradável, bom atendimento (difícil de encontrar em relação café regional) e preço justo.;ambiente
ambiente agradável, bom bacalhau e boa carta de vinhos.;ambiente
Ambiente agradável, bom para conversar com amigos.;ambiente
Ambiente agradável, comida de boa qualidade, champanhe com temperatura ideal, atendimento excelente, recomendamos para quem desejar degustar o melhor da comida regional amazonense.;ambiente
Ambiente agradável, comida deliciosa e atendimento excelente.;ambiente
Ambiente agradável, comida deliciosa e bom atendimento.;ambiente
Ambiente agradável, comida deliciosa, atendimento de primeira.;ambiente
Ambiente agradável, comida gostosa, os atendentes são bem educados.;ambiente
Ambiente agradável, comida maravilhosa, carta de vinhos completa e atendimento impecável!;ambiente
Ambiente agradável, comida otima e atendimento excelente.;ambiente
Ambiente agradável, confortável.;ambiente
Ambiente agradável, de bom acesso!;ambiente
Ambiente agradável, e a pizza de excelente qualidade.;ambiente
Ambiente agradável, excelente atendimento, banheiros limpos e climatizados, peca por não ter uma área própria de estacionamento, no entanto , oferece um excelente serviço para o público frequentador.;ambiente
Ambiente agradável, música ao vivo, bebida gelada.;ambiente
Ambiente agradável, música gaúcha de fundo.;ambiente
Ambiente agradável, musica muito boa, destacando o atendimento excelente do garçom Afonso ele fez a diferença nessa experiência ótima postura e sempre Cortez e educado, melhor atendimento que já tivemos com certeza voltaremos.;ambiente
Ambiente agradável, opções saborosas no cardápio!;ambiente
Ambiente agradável, ótima recepção, comida de excelência,  peixe de dar água na boca, a casa também dispõe de uma brinquedoteca que deixa a criança mais à vontade e o serviço de manobrista, super recomendo esse restaurante!;ambiente
Ambiente agradável, pé direito alto, situa-se no segundo andar do prédio.;ambiente
Ambiente agradável, pratos saborosos, preço justo e uma infinidade de bebidas.;ambiente
Ambiente agradável, restaurante charmoso, com ótimo atendimento.;ambiente
Ambiente agradável, rodízio muito bom.;ambiente
Ambiente agradável, sem contar que o atendimento foi perfeito feito pela srta.;ambiente
Ambiente agradável, serviço bom, comida deliciosa, porém a pizza é muito fina razão pela qual é bastante tostada.;ambiente
Ambiente agradável, simples, mas OK. O serviço é muito bom e rápido.;ambiente
Ambiente agradável, todo temático e eles dispoe de cervejas de fabricação própria.;ambiente
Ambiente agradável,atendimento excelente e a comida maravilhosa sem contar com a paisagem que é linda.;ambiente
Ambiente agradável,pratos deliciosos.;ambiente
Ambiente agradável.;ambiente
Ambiente agradevel, comidas muito gostosas, recomendo fortemente a lasanha.;ambiente
Ambiente amplo e com uma culinária nordestina caprichada !;ambiente
Ambiente amplo e confortavel, indico a do Amazonas shopping  e a do mileniun shopping que ja é  um local mais tranquilo para  tanto no almoço quanto no jantar.;ambiente
Ambiente amplo e música muito agradável.;ambiente
Ambiente amplo, bem climatizado, pratos deliciosos, atendimento excelente!;ambiente
Ambiente amplo, cardápio variado e bom atendimento, ótima opção para refeição com a família, amigos e trabalho.;ambiente
Ambiente bacana, atendimento bom, porém as porções sao pequenas.;ambiente
Ambiente bacana, comida boa, espaço infantil, chopp gelado.;ambiente
Ambiente bem climatizado, espaço kids amplo com monitora, atendimento rápido, todos são muito cordiais, destaque para Eduardo, muito atencioso, e Davi, super engraçado!!!;ambiente
Ambiente bem decorado e bom atendimento.;ambiente
ambiente bem familiar, ótimo atendimento, cardápio eclético e excelente rodízio.;ambiente
Ambiente bem limpo e climatizado, também tem sucos naturais e saladas, bem como descontos com cartão fidelidade.;ambiente
Ambiente bom , música boa , falta um melhor controle de comanda.;ambiente
Ambiente bom e agradável.;ambiente
Ambiente bom e comida muito boa.;ambiente
Ambiente bom e familiar, bem aconchegante, a comida sempre bem feita, o atendimento maravilhoso especificamente do José Gregório um ser humano incrível, voltaremos sempre.;ambiente
Ambiente bom e tranquilo,  bem pequeno .;ambiente
Ambiente bom para almoçar com os amigos e almoços executivos a trabalho.;ambiente
Ambiente bom, mas a carne que é oferecida como carne de sol, não é e o bolinho de macaxeira não tem recheio.;ambiente
Ambiente bonito, estacionamento próprio, preços honestos e a comida estava muito boa.;ambiente
Ambiente bonito,boa comida,presta um bom serviço... Problema é horário... Estava lá numa quinta feira as 22:30 estavam empilhando cadeiras e desligaram o ar condicionado tipo: VAI EMBORA!!!;ambiente
Ambiente climatizado, atendimento bom, estacionamento ruim, vários sabores de pizza e massas muito saborosas, preço médio,  bebida não inclusa no valor do rodízio.;ambiente
Ambiente climatizado, atendimento rápido e pratico, variedades de pratos opcionais, a melhor picanha da cidade, com sabor inconfundível, e as melhores bebidas e sobremesas.;ambiente
Ambiente climatizado, com vagas para estacionar, ótimo atendimento, preço compatível com o produto.;ambiente
ambiente com decoração super charmosa.;ambiente
Ambiente com muito barulho entretanto um bom lugar pra se distrair praticando o jogo de boliche.;ambiente
Ambiente com pegada rock n roll, comida gostosa, hambúrguer artesanal , ótimo atendimento.;ambiente
Ambiente confortável com atendimento de primeira e comida excelente.;ambiente
Ambiente confortável!;ambiente
Ambiente confortável, comida muito boa e todos muito simpáticos.;ambiente
Ambiente confortável, pratos saborosos mas eventualmente o preparo pode demorar em dias de grande procura.;ambiente
Ambiente convidativo tanto para amigos e família.;ambiente
Ambiente diferente, uma parede enorme com várias cachaças diferentes.;ambiente
Ambiente e comida top.;ambiente
Ambiente e música muito boa ...;ambiente
Ambiente e pratos ótimos.;ambiente
Ambiente escuro, como se você estivesse num pub.;ambiente
Ambiente espaçoso e atendimento rápido.;ambiente
Ambiente excelente picanha top atendimento muito bom pessoal atencioso e cordial,bom para ir com a familia ou sozinho tambem fornece servico de transfer de cliente.;ambiente
Ambiente excelente, comida gostosa preço bom, música ao vivo.;ambiente
Ambiente excelente.;ambiente
Ambiente extremamente  agradável, atendimento de excelência,  recomendo sempre.;ambiente
Ambiente família e bem climatizado.;ambiente
Ambiente familiar e a comida é gostosa.;ambiente
Ambiente familiar e comida saborosa.;ambiente
Ambiente familiar muito bom para passeio e lanche com a família e amigos.;ambiente
Ambiente familiar, 100% refrigerado, tem uma brinquedoteca bem grande, área para aniversários, variedade das pizza muito boa de massa fina, aceita crédito e débito e compartilha o custo do estacionamento na área ao lado.;ambiente
ambiente familiar, acessórios muito bons disponíveis tais como: macarrão, prancha, colete, etc...comida muito boa. O fator negativo é o preço, embora o proprietário queira selecionar o público e atingir um público mais seleto, existem obrigatoriedades de consumo em valor, pagando-se taxa para tudo desde a travessia.;ambiente
Ambiente familiar, agradável, cardápios variados.;ambiente
Ambiente familiar, climatizado e ao ar livre.;ambiente
Ambiente familiar, comida boa e preço justo!;ambiente
Ambiente familiar, de atendimento rápido e comida muito boa!;ambiente
ambiente familiar, descontraído, ideal para levar a família, restaurante conta com um suculento bufe, os garçons são super educados, estacionamento amplo, bem localizado, comodidade na forma de pagamento e ambiente espaçoso.;ambiente
Ambiente famíliar, excelente local para confraternização, cardápio muito bom e excelente atendimento.;ambiente
Ambiente familiar, muito bem estruturado, decoração impecável, uma mistura de pop rock, com cultura americana vintage... Vale a pena conhecer essa pizzaria com uma variedades de opção de sabores, um cardápio com muitas opções deliciosas com pizzas doces, salgadas, batata frita especial, hambúrguers , entre outros.... O estacionamento é amplo, mas precisa ainda de cuidados estruturais, melhorar o piso, e a estética da estrutura do prédio que fica a mostra, juntamente com as tubulações hídricas.;ambiente
Ambiente familiar, porém restaurante não oferece muitas opções no cardápio, preço um pouco caro, estacionamento bacana.;ambiente
Ambiente familiar, preço das comidas acessíveis.;ambiente
Ambiente familiar.;ambiente
Ambiente fantástico e familiar... super recomendo.;ambiente
Ambiente fino e muito bem frequentado.;ambiente
Ambiente incrível, bebidas finas, comida maravilhosa e atendimento digno, rapazes super educados e atenciosos!;ambiente
Ambiente incrível, e o melhor da culinária Portuguesa e Argentina, incluindo uma excelente carta de vinhos.;ambiente
Ambiente informal, cerveja gelada, cozinha portuguesa.;ambiente
Ambiente legal com outras atrações próximas, muito conveniente.;ambiente
Ambiente limpo confortável atendimento top do garçom muito gentil comida gostosa e rápido lugar bom para lanchar com os amigos !!;ambiente
Ambiente limpo e agradável!;ambiente
Ambiente limpo e com todos os procedimentos contra COVID.;ambiente
Ambiente lindíssimo e deliciosas tortas e salgados!;ambiente
Ambiente lindo, atendimento impecável, comida deliciosa!!!!;ambiente
Ambiente lindo, super bem frequentado, comida maravilhosa, shopp geladíssimo, ótimo atendimento.;ambiente
Ambiente maneiro, comida deliciosa, atendimento   muito bom e pra terminar tem abacaxi com groselha!!;ambiente
Ambiente maravilhoso e atendimento nota 10 pelo garçom Izaquiel, muito atencioso e solicito.;ambiente
Ambiente maravilhoso!!!!;ambiente
Ambiente maravilhoso, decoração perfeita, comida nota 10 e uma vista para o nosso Teatro do Amazonas de cair o queixo!;ambiente
Ambiente maravilhoso, garçons ótimos, som ao vivo e a comida impecável.;ambiente
Ambiente maravilhoso...amplo, aconchegante, atendimento excelente.;ambiente
Ambiente médio refrigerado com decorações agradáveis, painéis tema indígena, sem área externa.;ambiente
Ambiente muito aconchegante.;ambiente
Ambiente muito agradável e atendimento impecável.;ambiente
Ambiente muito agradável e muitos pizza deliciosas e ainda um excelente atendimento.;ambiente
Ambiente muito agradável, cardápio diversificado com açaí e muitos pratos da culinária regional.. Experimentei o pato no tucupi, muito bom!;ambiente
Ambiente muito agradável, comida deliciosa e ótimo ótimo benefício!;ambiente
Ambiente muito agradável, espaço amplo e bom atendimento.;ambiente
Ambiente muito agradável, música boa, comida regional muito bem temperada e o melhor de tudo, preço acessível.;ambiente
Ambiente muito agradavel, possui uma área Kids na parte externa e conta com pessoas funcionários que cuidam da animação desse espaço.;ambiente
ambiente muito agradavel, tanto no shopping como no park 10. comida excelente e bebidas bem geladas, vale a pena visitar.;ambiente
Ambiente muito bom .;ambiente
Ambiente muito bom, atendimento rápido e eficiente pelo garçom Franklin e comida excelente.;ambiente
Ambiente muito bom, bom atendimento, visual do rio tarumã é lindo no final de tarde, pranchas de aluguel de SUP, boa gastronomia, agora no verão é perfeito.;ambiente
Ambiente muito bom, música ambiente ótima e comida maravilhosa.;ambiente
Ambiente muito bom, o peixe é de primeira.;ambiente
Ambiente muito bom, peixe delicioso, atendimento diferenciado e com uma visão bem regional.;ambiente
Ambiente muito bom, tradicional bar amazonense, com variação em sua programação musical.;ambiente
Ambiente muito bom.;ambiente
Ambiente muito bonito e a comida é excelente.;ambiente
Ambiente muito grande e bom ar condicionado.;ambiente
Ambiente muito legal com musica  boa (Rock leve) e o hambúrguer também estava saboroso.;ambiente
Ambiente muito legal, e equipamentos ótimos para se divertir.;ambiente
Ambiente muito legal, tem uma brinquedoteca com monitora, a pizza é muito boa tbm.;ambiente
Ambiente muito legal.;ambiente
Ambiente noir e intimista, passar a noite nesse bistrô vai fazer sua ida a Manaus ser uma ótima lembrança à la francesa!;ambiente
Ambiente ótimo e agradável.;ambiente
Ambiente ótimo, atendimento ágil, sabores maravilhosos mas não é um restaurante barato, o que compensa no sabor.;ambiente
Ambiente ótimo, jantar delicioso e atendimento super agradável pelo garçom Bruno em conjunto com o Ricardo, voltarei e espero ser atendida por eles novamente.;ambiente
Ambiente para ocasiões especiais.;ambiente
Ambiente para toda família com excelente cardápio.;ambiente
Ambiente pequeno, aconchegante porém o mais caro de Manaus.;ambiente
Ambiente pequeno, atendimento muito bom, petiscos gostosos, música boa... Peço salgado.;ambiente
Ambiente perfeito pra comemorarmos essa data taobmaraviohos , pratos maravilhosos e atendimento impecavel pelo Rodrigo Uchoa .;ambiente
Ambiente perfeito!;ambiente
Ambiente quente os banheiros tem ar condicionado o salão parece não ter.;ambiente
Ambiente reformado, salão refrigerado, bom espaço e muitas mesas faz do Bom Prato uma boa pedida para um almoço de negócios ou com amigos, o serviço é correto e ágil, a comida e simples porem muito boa especialmente a carne de sol, cerveja bem gelada.;ambiente
Ambiente Retrô com uma biblioteca interessante!!;ambiente
Ambiente rústico com vista para o teatro Amazonas.;ambiente
Ambiente rústico e aconchegante, funcionários muito simpáticos.;ambiente
Ambiente sempre aconchegante, comida regional de excelente qualidade, pirarucu, tambaqui, matrinxa sempre bem feitos, com preço bem acessível para o padrão do restaurante.;ambiente
Ambiente sempre cheio , com mesas sempre ocupadas.;ambiente
Ambiente sensacional, atendimento excelente.;ambiente
Ambiente sensacional, atendimento incrível, comida tudo de bom e preço muito bom.;ambiente
Ambiente sofisticado e aconchegante, atendimento ótimo e, a moqueca cearense mista estava uma delícia!;ambiente
Ambiente super agradável com uma vista linda para o teatro.;ambiente
Ambiente super agradável e bonito.;ambiente
Ambiente super agradável e preço acessível.;ambiente
Ambiente super agradável para família, comida excelente, ótima musica, preço justo no sup, cerveja gelada...enfim muito bom.;ambiente
Ambiente super agradável, aconchegante, amplo e com a temática ROCK, muito legal!;ambiente
Ambiente super agradável, atendimento de primeira, comida deliciosa e preço muito justo!;ambiente
Ambiente super agradável, atendimento simpático e simples, carnes de excelente paladar, custo benefício atrativos.;ambiente
Ambiente super agradável, boa comida, bom vinhos, recomendo sem medo de errar.;ambiente
Ambiente super agradável, bom atendimento, comida maravilhosa e preço justo.;ambiente
ambiente super agradável, carne de primeira, atendimento excelente, cerveja gelada.;ambiente
Ambiente super agradável, excelente atendimento e produtos de qualidade inquestionáveis.;ambiente
Ambiente super agradável, música excelente.;ambiente
Ambiente super agradável, ótimo atendimento, pizzas ótimas e brinquedoteca sensacional.;ambiente
Ambiente super agradável, ótimo para a família e amigos e as crianças claro, por conta dos brinquedos (pula pula, escorredor inflável).;ambiente
Ambiente super agradável.;ambiente
Ambiente super gostoso, descontraído, entrada que e um caldo de tucunare maravilhoso, fomos super bem atendidos, trouxeram gis de cera e desenho para minha filha.;ambiente
Ambiente típico e regional, confortável, com estacionamento próprio e bem localizado.;ambiente
Ambiente tranquilo, aconchegante, boa música ao fundo e, o que mais gostei, tem opção vegetariana no cardápio.;ambiente
Ambiente tranquilo, e ótimo pra relaxar fui muito bem atendida pela Luana, muito educada sabe se comunicar  e falou muito bem sobre seus produtos,  parabéns pelo atendimento, ambiente maravilhoso rústico um joelho de porco dos deuses parabéns a todos .;ambiente
Ambiente tranquilo, música agradável, comida ótima e atendimento EXCELENTe.;ambiente
Ambiente tranquilo, música boa e um ótimo atendimento.;ambiente
Ambiente tranquilo, uma ótima opção!!!;ambiente
Ambiente: agradabilíssimo, tanto a decoração como a atmosfera.;ambiente
Amei, ótimo ambiente para confraternizações!;ambiente
Amei... Atendimento e cordialidade excelente... Cerveja estupidamente gelada... Música boa e agradável à todos os gostos... Excelente... Sensacional...;ambiente
Ao lado do teatro amazonas que emoldura produtos de qualidade e bom preparo.;ambiente
Ao lado tem arborização do quintal vizinho,o que proporciona mais contato com a natureza.;ambiente
Apenas o local é ruim porque não tem espaço suficiente pros clientes.;ambiente
Apesar da falta de estacionamento próprio o Adolpho possui um ambiente muito bom, na minha opinião, a área externa é a opção ideal, principalmente para quem não tem pressa para sair do lugar.;ambiente
Apesar de estar localizado em um Shopping, o Coco Bambu Manaus é um bom restaurante, porém verificamos algumas falhas.;ambiente
Apesar de ser um restaurante pequeno e que não possui estacionamento privado, até então é fácil estacionar o carro nas proximidades do restaurante.;ambiente
Apesar do ambiente lindo, temos problemas nesse estabelecimento na demora excessiva na entrega dos pedidos e meu prato de camarão veio com cabelo, porém não foi cobrado, ainda bem.;ambiente
Apesar do preço cobrado,  o local muito aprazível e visualmente agradável.;ambiente
Apesar do preço mais caro (por ser sexta feira) o rodízio vale a pena, a mesa que reservamos ficava mais afastada e nos dava privacidade sem o incomodo de não ser atendido.;ambiente
Apresenta um bom espaço.;ambiente
Ar condicionado local perfeito.;ambiente
Ar condicionado não deixa o ambiente frio quando lota.;ambiente
Área kids, ambiente climatizado e o melhor peixe da Cidade por um preço justo!;ambiente
Área total climatizada.;ambiente
As bebidas chegam bem todavia o barulho do local incomoda quem quer conversar e saborear... alguns tira gostos existentes, os quais demoram muito para ficarem prontos e chegarem as pessoas que o solicitaram...;ambiente
As mesas são entalhadas com alguns dos peixes amazônicos deixando a decoração super temática.;ambiente
As mesas tb são desconfortáveis, bancos altos sem encosto.;ambiente
As pessoas nos atenderam bem e fiz uma reserva ao lado da área kids foi bacana tinha pula pula, escorregador, cavalinho bem bacana pra se divertir num local diferente e comer diversidades de comida.;ambiente
Atendentes super atenciosos, ambiente familiar, aconchegante que oferece ao mesmo tempo lugar tranquilo para banho, stand up paddle e o melhor da cozinha regional (cardápio delicioso de muito bom gosto), incluindo comida vegetariana.;ambiente
Atendimento bom, ambiente tranquilo e confortável.;ambiente
Atendimento acolhedor, ambiente agradável, preço justo e comida saborosa....;ambiente
Atendimento amador , espaço bom confortável , quase ninguém estava quando fomos , erraram o pedido e o que veio não justifica a cozinha ser chamada de portuguesa !;ambiente
Atendimento bom uma boa comida e plugar bastante arejado preço justo voltarei com certeza.;ambiente
Atendimento bom, amplo estacionamento (porém em dias movimentados fica cheio), ambiente bem agradável e os hambúrgueres deliciosos!;ambiente
Atendimento bom, custo beneficio entre local e os preços e excelente tendo em vista que o bar é muito top...;ambiente
Atendimento bom, lugar pequeno, porém aconchegante onde podes escolher entra área externa ou interna.;ambiente
Atendimento da portaria ao atendimento de bar, os funcionários são educados e gentis, sem contar na energia gostosa que tem o lugar, muito bem frequentado.;ambiente
Atendimento de alto nível, ambiente famíliar, massas delíciosas, drinks maravilhosos.;ambiente
Atendimento de primeira, ambiente super agradável e a comida então, muito gostosa,carne de sol top das galáxias.;ambiente
Atendimento de qualidade, lugar grande e mesmo em dias de muito movimento a fila de espera é bem rápida.;ambiente
Atendimento diferenciado e ambiente impecável.;ambiente
Atendimento dentro do esperado, preço justo, ambiente bem familiar.;ambiente
Atendimento do garçom Luiz excelente e o prato escolhido foi o Câmara búzios muito bom, música ambiente maravilhosa.;ambiente
Atendimento excepcional, restaurante maravilhoso, e a melhor trilha sonora que se pode imaginar!;ambiente
Atendimento excelente com qualidade do Rodrigo Uchôa, ambiente agradável com música ao vivo, recomendo a todos.;ambiente
Atendimento excelente da Lana,  comida ótima e um ambiente fenomenal.;ambiente
Atendimento excelente e ambiente aconchegante.. com uma bela vista.;ambiente
Atendimento excelente e espaço muito tranquilo.;ambiente
Atendimento excelente pelo Afonso, atencioso, comida deliciosa, ambiente agradável, música ao vivo.. Espetacular.;ambiente
Atendimento excelente, ambiente acolhedor com direito a vista do Teatro Amazonas, refinado sem ser luxuoso ( o sabão do baheiro era LOcitanne ).;ambiente
