review_text,ambiente,comida,geral,preco,servico,seguranca
"a comida uma delícia, mtas variedades, a picanha vc pede a quantidade q quser, tem uma banana frita deliciosa, paçoca de carne seca, arroz com brocólis, sucos... sem falar do ambiente q é climatizado, atendimento muito bom, um excelente lugar pra vc se reunir.",1,1,2,2,1,2
A companhia dos amigos em um ambiente confortável.,1,2,2,2,2,2
"A convite de amigos, fui ao Choupana e fui surpreendida com o ambiente rústico, mas muito agradável.",1,2,2,2,2,2
"A costela de Tambaqui da unidade do Shopping Manauará, da de dez em outro restaurante famoso de Manaus, muito saboroso e com uma guarnição quea até da para dividir com mais uma pessoa (que coma pouco).",2,1,2,2,2,2
"A culínária é deliciosa... ambiente muito agradável e acolhedor, com clima intimista.",1,1,2,2,2,2
"A culinária local é excelente, mas nada se compara ao cardápio e combinações que esse restaurante foi capaz de proporcionar.",2,1,2,2,2,2
"A dica: o Banzeiros dá de dez no Alentejo, em sabor, em serviço e o custo benefício é infinitamente melhor.",2,1,2,1,1,2
"A entradinha, um caldo de tambaqui já abre alas pra uma boa experiência gastronômica.",2,1,2,2,2,2
a entrada de linguicas também muito gostosa e a porçao de peixe muito bem servida.o atendimento foi meio desatento  mas local.,2,1,2,2,0,2
A exceção foi o prato da boa lembrança que não estava bom.,2,0,2,2,2,2
"A excelente estrutura do local, com um ambiente moderno e de bom gosto, além de facilidades como estacionamento gratuito com manobrista, não fazem com que esta casa perca o foco no principal, que é a qualidade da comida.",1,1,2,2,2,2
A experiência é sempre ótima... Sou cliente fiel.,2,2,1,2,2,2
A fatia é grande.,2,1,2,2,2,2
"A grande maioria ruins, algumas vinham queimadas e outras que tinham o gosto horrível.",2,0,2,2,2,2
A Hamburguela foi uma das experiências mais fantásticas em relação tanto ao atendimento quanto a comida.,2,1,2,2,1,2
"A idéia das cervejas especiais é bem vinda, desde que estejam no cardápio, belgas frutadas, inglesas lupuladas, alemãs tradicionais e ipa e ales americanas somente, nada mais que 2 de cada tipo citado e apresentadas da maneira correta também.",2,1,2,2,2,2
"A isca vem numa tapioca típica da região norte, mas o garçom não explica que essa tapioca é super dura, horrível de comer, parece que vai quebrar o dente.",2,0,2,2,2,2
"A língua bovina deu um toque todo especial, muito macia e sabor inigualável.",2,1,2,2,2,2
A maior parte do cardapio é uma releitura muito bem executada de pratos tradicionais da região.,2,1,2,2,2,2
"a mais famosa picanha no bafo de manaus, com otimo ambiente, otimo atendimento e claro, picanha gostosa e suculenta.",1,1,2,2,1,2
A matrinxã recheada estava incrível de macia e gostosa e os preços têm ótimo custo-benefício!,2,1,2,1,2,2
A melhor carne de sol com preço acessível se encontra aqui.,2,1,2,1,2,2
A melhor carne de Sol de MANAUS.,2,1,2,2,2,2
A melhor churrascaria de Manaus na atualidade.,2,2,1,2,2,2
A melhor comida de manaus.,2,1,2,2,2,2
A melhor do ramo de grelhados... ótimo ambiente e atendimento excelente...,1,1,2,2,1,2
"A melhor e mais completa churrascaria de Manaus, moderna, que trabalha com todos os cortes, carnes de qualidades e de origem comprovada!!!",2,1,1,2,2,2
A melhor picanha de Manaus com um preço justo.,2,1,2,1,2,2
A melhor pizza com nível italianissimo e percebe-se que utilizam bons produtos.,2,1,2,2,2,2
A melhor pizza que ja comi no mundo.,2,1,2,2,2,2
A melhor pizzaria.,2,2,1,2,2,2
A melhor pizzaria de Manaus!!,2,2,1,2,2,2
A mesa é reposta constantemente o que possibilita uma café da manhã generoso.,2,1,2,2,2,2
A moça que opera o caixa no domingo dia 24/04 precisa de uma reciclagem de como atender bem a clientes.,2,2,2,2,0,2
"A noite nem sempre a picanha é boa, frango de leite deve ser pedido ao ponto caso contrário vem ressecado paçoca ruim , batata frita muito boa assim como o abacaxi com groselha e gelo,  arroz de brocolis mto bom ....  estacionamento razoável em todas.",2,0,1,2,2,2
"A noite tem um rodízio de pizza de varios sabores salgado e doces, além de buffet de massas, preço bom, ambiente bom, bem localizado.",1,1,2,1,2,2
"A nova loja do Adrianópolis no início da rua Paraíba é ótima, espaçosa e possui bom estacionamento.",1,2,2,2,2,2
"A otima impressão ja começou quando cheguei apos as 23hrs (o local fica aberto até as 23h, mas devido uma forte chuva, a cidade parou nesse dia) e eles entenderam isso,  tanto que a recepção antes de dizer um não, devido a hora, tratou de checar com a cozinha se poderiam ainda servir.",2,2,1,2,1,2
"A paisagem é linda, o ambiente acolhedor, o restaurante é ótimo e as pessoas são muito agradáveis.",1,2,1,2,2,2
A partir de indicação daqui decidimos por um restô Português e não poderia ser melhor .,2,2,1,2,2,2
"A picanha mania proporciona a melhor comida de manaus, alem de um ambiente super confortavel e aconchegante.",1,1,2,2,2,2
A piscina para crianças imprópria para o banho.,0,2,2,2,2,2
"A pizza de mussarela e 4 queijos veio com borda larga, uns 2cm, e o sabor estava sem graça.",2,0,2,2,2,2
"A pizza e a pior que comi em Manaus, a massa da pizza é braaanca e sem gosto, o pessoal é super atencioso mais a comida é mala não volto mais, para quem deseja saber o custo vale 35 o rodízio por pessoa e o refrigerante é fora parte 5 reais cada refrigerante o suco é malo, desses que vc compra no supermercado em sacola pequena congelada.. o lugar é bom mais se a comida for mala todo é malo.",2,0,2,2,1,2
"A pizza é maravilhosa, o lugar aconchegante, com um play para crianças brincarem.",1,1,2,2,2,2
"A primeira vez de muitas que virão,virei fã.",2,2,1,2,2,2
"A primeira vez que fui ao Banzeiro, buscava um local que oferecesse a culinária local, pois uma prima carioca  estava de passagem pela cidade e nada como um bom peixe para acompanhar uma conversa gostosa.",2,1,2,2,2,2
"A primeira vez que minha filha teve contato com o rio foi no abaré, graças a um ambiente tranquilo, familiar e seguro, tivemos a melhor experiência do mundo.",1,2,1,2,2,2
A qualidade caiu bastante do último ano.,2,2,0,2,2,2
"A questão é a seguinte, vocês oferecem uma comida de alta qualidade, drinks ótimos, cerveja gelada... e aí quando o cliente chega pra estacionar é extremamente mal recebido.",2,1,2,2,0,2
A recepcionista Lorena foi muito educada e gentil.,2,2,2,2,1,2
"A seleção do cardápio e perfeita, o garçom era um pouco confuso, mas não por falta de atenção,ao contrario,  a vontade de ser atencioso demais, acabou truncando a comunicação, era venezuelano.",2,1,2,2,1,2
"A sobremesa de Petit gâteau é muito boa, com um valor considerável.",2,1,2,1,2,2
"A sobremesa pedi um petit gateau, bom, porém não pediria novamente e demorou, mas não diminui a nota, pois o atendente foi educado e nos deixou por dentro do ocorrido do atraso, um bom atendimento camufla eventuais acontecimentos.",2,1,2,2,1,2
"A tapioca com preço absurdo, café fraco.",2,0,2,0,2,2
"A torta mais deliciosa do mundo, é essa torta de banana.",2,1,2,2,2,2
"A única coisa que fica a desejar é o preço, principalmente dos vinhos, que sempre são cobrados com uma boa margem de lucro para o restaurante.",2,2,2,0,2,2
"A única coisa que gostei foi o atendimento, o pessoal faz tudo para deixar o momento mais sofisticado, fora isso em nada representa a cozinha Manauara.",2,2,2,2,1,2
A unica coisa que não gostei é que o banheiro masculino fica no piso superior.,0,2,2,2,2,2
"A unidade do manauara shopping é excelente pois conta com espaço amplo, boa variedade no cardápio, cerveja artesanal maravilhosa e vários produtos importados e nacionais.",1,1,1,2,2,2
A variedade de refeições é outro diferencial e o preço justo torná o ambiente perfeito para reunir-se com os amigos.,1,1,2,1,2,2
"Açaí delicioso, atendimento muito bom!",2,1,2,2,1,2
Açaí excelente.,2,1,2,2,2,2
"Achei bem agradável, mas tem pouca variedade de comida e se você quer conversar e comer não é um bom lugar pois vai muita gente e como o lugar é fechado você ouve a voz de todo mundo.",0,0,1,2,2,2
Achei o atendimento muito bom também!,2,2,2,2,1,2
"Achei o preço bom 27 reais buffet livre, a comida estava deliciosa e o ambiente é silencioso, como eu gosto.",1,1,2,1,2,2
Achei o preço razoável.,2,2,2,1,2,2
Achei o preço super acessível.,2,2,2,1,2,2
"Achei que só tem fama...atendimento horrível, porções minúsculas e preços caríssimo!!!!!",2,0,2,0,0,2
Achei um excelente lugar!,2,2,1,2,2,2
"Achei uma boa opção, mas muito barulhento e não tem na cozinha a mesma qualidade que apresenta nos produtos da delicatessen.",0,0,1,2,2,2
"Achei, em tempos de pandemia, as mesas muito próximas e vim um garçom jovem que insistia em usar a máscara de forma incorreta deixando seu nariz para fora e respirando sobre o alimento e louças enquanto servia, mesmo por duas vezes, nós o solicitamos que usasse a máscara corretamente.",0,2,0,2,2,2
"Acho legal que tenha a opção vegetariana no cardápio, mostra que a empresa se preocupa com os clientes.",2,1,2,2,1,2
"Acho o local pequeno, precisei algumas vezes dividir a mesa mas pela comida vale a pena.",0,1,2,2,2,2
Acho que é o primeiro restaurante italiano em Manaus que me satisfez no sabor.,2,2,1,2,2,2
Acho que os peixes de água doce tem um sabor muito forte de que pessoalmente não me agrada muito.,2,0,2,2,2,2
Acho que por esse preço tem restaurantes melhores em Manaus.,2,2,2,0,2,2
Acho um lugar fantástico aconselho aos turistas conhecerem.,2,2,1,2,2,2
"Acomodações externas muito ruim, pessoas fumando em cima da gente, no mais ótimo localização.",0,2,2,2,2,2
"Aconchegante  ,agradável, de fácil acesso, amei estar lá.",1,2,2,2,2,2
"Aconchegante, elegante, atendimento simpático, bons produtos.",2,1,1,2,1,2
"Acredito que conta com diferencial fundamental para o sucesso do negócio, que é a presença do proprietário no salão, cumprimentando todos os clientes, uma a um.",2,2,2,2,1,2
"Acredito que fui nos dias errados, pois demorei mais de 30 minutos pra ser atendido, e mais de uma hora pra chegar o almoço, mais enfim, ótimo lugar, ótimo atendimento mais muito demorado.",2,2,1,2,1,2
Adalberto Blanca foi uma ótima pessoa.,2,2,2,2,1,2
Ademais uns tira-gostos maravilhosos.,2,1,2,2,2,2
"Adolpho...melhor diversidades de cortes de carne da região, no ponto perfeito um verdadeiro gourmet de carnes!",2,1,2,2,2,2
"Adoramos o café, ambiente muito agradável e aconchegante.",1,2,2,2,2,2
"Adorei , atendimento excelente e os pratos uma delicia e uma paisagem espetacular !!!",1,1,1,2,1,2
"Adorei a cachaça levanta pau mole, tradicional da região, gostei também da entrada joelho de boi, uma delicia, e um chopp muito gelado.",2,1,2,2,2,2
"adorei a comida do divino fogao, é tudo muito bem feito e lindo, com um profissionalismo sem igual, muito bom.",2,1,2,2,1,2
"Adorei a culinária do loca, ingredientes típicos amazonenses com um toque requintado.",2,1,2,2,2,2
"Adorei conhecer o local, tive uma boa primeira impressão.",2,2,1,2,2,2
"Adorei, atendimento excelente, comida boa, ambiente familiar, aconchegante.",1,1,2,2,1,2
"Adorei, muito bem servido, e com um excelente atendimento.",2,2,2,2,1,2
"Adorei, um lugar divertido!",2,2,1,2,2,2
"Adoro esse lugar, comida excelente,  atendimento de primeira qualidade,  lugar bonito e muito bem frequentado e o preço é ótimo.",1,1,1,1,1,2
"Adoro esse lugar, um restaurante charmoso e aconchegante, familiar e jovial, atendimento de qualidade e os pratos maravilhosos.",2,1,1,2,1,2
"Adoro estou sempre lá,muito divertido musica boa,gente bonita,atendentes super simpaticos.",1,2,2,2,1,2
"Adoro passar por lá qua do estou em Manaus, para um café com toque bem regional, com tapioca, tucumã, farofa de charque dentre outras iguarias.",2,1,2,2,2,2
Agora com nova instalação na Max Teixeira com amplo conhecimento e uma comida boa !,2,1,2,2,2,2
"Agradável , comida excelente,funcionários atenciosos.",2,1,2,2,1,2
"Agradável local para relaxar, conversar e apreciar a natureza.",1,2,2,2,2,2
"Ahhh, pizza boa demaisss.",2,1,2,2,2,2
Aí o rapaz me informou que deveria falar com o dono..aí o dono autorizou mediante uma quantia de 35 reais....afff estava de palhaçada se fosse por um preço razoável pagaria sem problemas.,2,2,2,1,2,2
"Ainda que o ambiente tenha melhorado em muito 9o que rende pontos extras para a climatização), a qualidade na mesa decaiu, especialmente os acompanhamentos da carne de sol.",1,0,2,2,2,2
Ainda tem uma parceria com o restaurante indígena que dá prazer em colaborar.,2,2,1,2,2,2
"Alberto muito recepcionista, simpático e atende super bem!",2,2,2,2,1,2
Além da banana frita deliciosa.,2,1,2,2,2,2
"Além de boa variedade de comidas, é um lugar tranquilo para comer.",2,1,2,2,2,2
"Além de eles dimensionarem mal as porções de uma parte dos acompanhamentos dos pratos pra duas pessoas, querem cobrar a cada mísera porção farofa.",2,1,2,1,2,2
"Além de ser bem atendido da recepção ao caixa, você ainda tem muita variedade de comidas por um preço muito acessível!",2,1,2,1,1,2
"além de ser um flutuante no meio do rio negro, você pode praticar SUP e ainda ver um belo por-do-sol!",1,2,2,2,2,2
"Além disso, o atendimento é muito bom e o ambiente super agradável!!!",1,2,2,2,1,2
"Além disso, possui um preço abusivo, fora dos padrões dos melhores restaurantes de Manaus por uma comida bem fraca.",2,0,2,0,2,2
"Além dos pratos bem servidos e saborosos, o atendimento é acolhedor, com  um espaço físico agradável e devidamente climatizado.",1,1,2,2,1,2
Algumas opções da qual tinha interesse não estavam inclusas no rodízio.,2,0,2,2,2,2
"Aliado a isso tem a demora, a má vontade dos garçons e os últimos casos relatados no face.",2,2,2,2,0,2
"Alimentação de primeira qualidade, Natal chefe de cozinha top.",2,1,2,2,1,2
Alimentação excepcional!,2,1,2,2,2,2
Almoço excelente!!,2,1,2,2,2,2
Almoço no estilo self-service onde você come bem pagando um preço justo.,2,1,2,1,2,2
Altamente recomendado para um café da manhã regional excelente!,2,1,2,2,2,2
"amamos a comida deste restaurante, muito gostoso mesmo, acho que um doselhores de Manaus.",2,1,1,2,2,2
Amamos o atendimento do garcon em treinamentos Wesley super atencioso e paciente com nossas solicitações.Ja pode ser promovido.,2,2,2,2,1,2
"Ambiente super agradável, atendimento simpático e simples, carnes de excelente paladar, custo benefício atrativos.",1,1,2,1,1,2
Ambiente  agradabilíssimo e com música ao vivo final de semana.,1,2,2,2,2,2
Ambiente  familiar pizza muito gostosa atendimento de excelência  estão de parabéns.,1,1,2,2,1,2
Ambiente  muito aconchegante com ótima seleção musical.,1,2,2,2,2,2
"Ambiente acolhedor , comida regional manauara com toque de chef .",1,1,2,2,2,2
"Ambiente acolhedor e familiar, com o sabor e cheiro de Belém do Pará.",1,2,2,2,2,2
"Ambiente acolhedor, com iluminação no ponto certo.",1,2,2,2,2,2
Ambiente aconchegante.,1,2,2,2,2,2
"Ambiente aconchegante agradável, boa comida e funcionários atenciosos.",1,1,2,2,1,2
"Ambiente aconchegante e agradável, ideal para pequenos grupos.",1,2,2,2,2,2
"Ambiente aconchegante e bem limpo, culinária muito boa.",1,1,2,2,2,2
Ambiente aconchegante e bom atendimento.,1,2,2,2,1,2
Ambiente aconchegante e familiar.,1,2,2,2,2,2
"Ambiente aconchegante, atendimento excelente,comida maravilhosa.",1,1,2,2,1,2
"ambiente aconchegante, comida da melhor qualidade, muito bom mesmo.",1,1,2,2,2,2
"Ambiente aconchegante, excelente atendimento e pratos deliciosos!",1,1,2,2,1,2
"Ambiente aconchegante, ótimo atendimento, cardápio variado e excelente qualidade.",1,1,2,2,1,2
"Ambiente aconchegante, preço justos, comida saborosa e ótimo atendimento (em especial ao garçom Robson).",1,1,2,1,1,2
Ambiente aconchegante.,1,2,2,2,2,2
Ambiente adequado.,1,2,2,2,2,2
"Ambiente agradabilíssimo, pratos bem apresentados e, principalmente, bem sevidos.",1,1,2,2,1,2
Ambiente agradável.,1,2,2,2,2,2
"Ambiente agradável ,comida  muito boa, e atendimento ok. Pedi pra levar o q sobrou da minha pizza e tive q pagar a embalagem, mas ok.",1,1,2,2,1,2
Ambiente agradável com a melhor carne de sol de Manaus.,1,1,2,2,2,2
"Ambiente agradável com ar refigerado( importantíssimo nesta cidade), decoração com motivos Amazônicos .",1,2,2,2,2,2
Ambiente agradável com o melhor da culinária peruana e local.,1,1,2,2,2,2
Ambiente agradável com opção de atendimento interno e externo.,1,2,2,2,1,2
Ambiente agradável com ótimo atendimento e o cardápio de excelente qualidade.,1,1,2,2,1,2
Ambiente agradavel e a localização e boa.,1,2,2,2,2,2
"Ambiente agradável e aconchegante, um excelente atendimento, ótimas opções de pratos, guarnições bem servidas, grande variedade de carnes e sobremesas deliciosas!",1,1,2,2,1,2
Ambiente agradável e amplo com uma bela vista do rio negro.,1,2,2,2,2,2
"Ambiente agradável e atendimento cordial, ja os preços são muito caro.",1,2,2,0,1,2
Ambiente agradável e atendimento muito bom.,1,2,2,2,1,2
Ambiente agradável e atendimento nota dez!,1,2,2,2,1,2
"Ambiente agradável e bom atendimento, especialmente o rapaz Sauro.",1,2,2,2,1,2
Ambiente agradavel e bom atendimento.,1,2,2,2,1,2
Ambiente agradável e bom atendimento.,1,2,2,2,1,2
Ambiente agradável e cardápio ótimo.,1,1,2,2,2,2
"Ambiente agradável e cardápio variado, embora, tenham sempre alguns itens indisponíveis.",1,1,2,2,2,2
Ambiente agradável e cerveja barata.,1,2,2,1,2,2
Ambiente agradável e com música boa.,1,2,2,2,2,2
Ambiente agradável e com uma comida típica regional.,1,1,2,2,2,2
"Ambiente agradável e comida deliciosa, mas quanto ao espaço infantil, sugiro ter mais monitoras, principalmente em dias de mais movimento.",1,1,2,2,0,2
Ambiente agradável e comida maravilhosa.,1,1,2,2,2,2
Ambiente agradável e de fato tem uma variedade de sabores.,1,1,2,2,2,2
Ambiente agradável e excelente atendimento!,1,2,2,2,1,2
Ambiente agradável e muito confortável.,1,2,2,2,2,2
Ambiente agradável e música boa!,1,2,2,2,2,2
Ambiente agradável e ótimo atendimento.,1,2,2,2,1,2
Ambiente agradável e pessoal atencioso.,1,2,2,2,1,2
Ambiente agradável e som maravilhoso.,1,2,2,2,2,2
Ambiente agradável e um amplo estacionamento.,1,2,2,2,2,2
"Ambiente agradavel em otima localizacao excelentes garcon,sem contar que voce nao espera quase nada pra saborear a deliciosa picanha suculenta.",1,1,2,2,1,2
"Ambiente agradável espetacular, excelente atendimento, comida maravilhosa, tradicional restaurante com comidas típicas.",1,1,1,2,1,2
Ambiente agradável mas com muita gente fica apertado e bem barulhento.,1,2,2,2,2,2
"Ambiente agradável para almoços e comemorações, comida saborosa e atendimento excelente pelo garçom Izaquiel.",1,1,2,2,1,2
Ambiente agradável para um café e um bom papo com os amigos!,1,2,2,2,2,2
"Ambiente agradável,  boa comida e preço justo para o que oferece.",1,1,2,1,2,2
"Ambiente agradável,  cardápio variado e excelentes profissionais de apoio.",1,1,2,2,1,2
"Ambiente agradável, açaí bem gostoso e achei o preço justo.",1,1,2,1,2,2
"Ambiente agradável, aconchegante, comida gostosa e atendimento excelente! ?",1,1,2,2,1,2
"Ambiente agradável, atendentes educados e simpáticos, ótimas opções de salda e preço acessível.",1,1,2,1,1,2
"Ambiente agradável, atendimento excelente e pratos sofisticados, vale cada centavo.",1,1,2,1,1,2
"Ambiente agradável, atendimento super rápido.",1,2,2,2,1,2
"Ambiente agradável, bem localizado, fácil acesso, comida muito boa, eu recomendo !",1,1,2,2,2,2
"Ambiente agradável, Boa musica e com cardápio para agradar qualquer paladar.",1,1,2,2,2,2
"Ambiente agradável, bom atendimento (difícil de encontrar em relação café regional) e preço justo.",1,2,2,1,1,2
"ambiente agradável, bom bacalhau e boa carta de vinhos.",1,1,2,2,2,2
"Ambiente agradável, bom para conversar com amigos.",1,2,2,2,2,2
"Ambiente agradável, comida de boa qualidade, champanhe com temperatura ideal, atendimento excelente, recomendamos para quem desejar degustar o melhor da comida regional amazonense.",1,1,2,2,1,2
"Ambiente agradável, comida deliciosa e atendimento excelente.",1,1,2,2,1,2
"Ambiente agradável, comida deliciosa e bom atendimento.",1,1,2,2,1,2
"Ambiente agradável, comida deliciosa, atendimento de primeira.",1,1,2,2,1,2
"Ambiente agradável, comida gostosa, os atendentes são bem educados.",1,1,2,2,1,2
"Ambiente agradável, comida maravilhosa, carta de vinhos completa e atendimento impecável!",1,1,2,2,1,2
"Ambiente agradável, comida otima e atendimento excelente.",1,1,2,2,1,2
"Ambiente agradável, confortável.",1,2,2,2,2,2
"Ambiente agradável, de bom acesso!",1,2,2,2,2,2
"Ambiente agradável, e a pizza de excelente qualidade.",1,1,2,2,2,2
"Ambiente agradável, excelente atendimento, banheiros limpos e climatizados, peca por não ter uma área própria de estacionamento, no entanto , oferece um excelente serviço para o público frequentador.",0,2,2,2,1,2
"Ambiente agradável, música ao vivo, bebida gelada.",1,2,2,2,2,2
"Ambiente agradável, música gaúcha de fundo.",1,2,2,2,2,2
"Ambiente agradável, musica muito boa, destacando o atendimento excelente do garçom Afonso ele fez a diferença nessa experiência ótima postura e sempre Cortez e educado, melhor atendimento que já tivemos com certeza voltaremos.",1,2,2,2,1,2
"Ambiente agradável, opções saborosas no cardápio!",1,1,2,2,2,2
"Ambiente agradável, ótima recepção, comida de excelência,  peixe de dar água na boca, a casa também dispõe de uma brinquedoteca que deixa a criança mais à vontade e o serviço de manobrista, super recomendo esse restaurante!",1,1,2,2,1,2
"Ambiente agradável, pé direito alto, situa-se no segundo andar do prédio.",1,2,2,2,2,2
"Ambiente agradável, pratos saborosos, preço justo e uma infinidade de bebidas.",1,1,2,1,2,2
"Ambiente agradável, restaurante charmoso, com ótimo atendimento.",1,2,1,2,1,2
"Ambiente agradável, rodízio muito bom.",1,1,2,2,2,2
"Ambiente agradável, sem contar que o atendimento foi perfeito feito pela srta.",1,2,2,2,1,2
"Ambiente agradável, serviço bom, comida deliciosa, porém a pizza é muito fina razão pela qual é bastante tostada.",1,1,2,2,1,2
"Ambiente agradável, simples, mas OK. O serviço é muito bom e rápido.",1,2,2,2,1,2
"Ambiente agradável, todo temático e eles dispoe de cervejas de fabricação própria.",1,2,2,2,2,2
"Ambiente agradável,atendimento excelente e a comida maravilhosa sem contar com a paisagem que é linda.",1,1,2,2,1,2
"Ambiente agradável,pratos deliciosos.",1,1,2,2,2,2
Ambiente agradável.,1,2,2,2,2,2
"Ambiente agradevel, comidas muito gostosas, recomendo fortemente a lasanha.",1,1,2,2,2,2
Ambiente amplo e com uma culinária nordestina caprichada !,1,1,2,2,2,2
"Ambiente amplo e confortavel, indico a do Amazonas shopping  e a do mileniun shopping que ja é  um local mais tranquilo para  tanto no almoço quanto no jantar.",1,2,2,2,2,2
Ambiente amplo e música muito agradável.,1,2,2,2,2,2
"Ambiente amplo, bem climatizado, pratos deliciosos, atendimento excelente!",1,1,2,2,1,2
"Ambiente amplo, cardápio variado e bom atendimento, ótima opção para refeição com a família, amigos e trabalho.",1,1,2,2,1,2
"Ambiente bacana, atendimento bom, porém as porções sao pequenas.",1,0,2,2,1,2
"Ambiente bacana, comida boa, espaço infantil, chopp gelado.",1,1,2,2,2,2
"Ambiente bem climatizado, espaço kids amplo com monitora, atendimento rápido, todos são muito cordiais, destaque para Eduardo, muito atencioso, e Davi, super engraçado!!!",1,2,2,2,1,2
Ambiente bem decorado e bom atendimento.,1,2,2,2,1,2
"ambiente bem familiar, ótimo atendimento, cardápio eclético e excelente rodízio.",1,1,2,2,1,2
"Ambiente bem limpo e climatizado, também tem sucos naturais e saladas, bem como descontos com cartão fidelidade.",1,2,2,1,2,2
